序,證券商,成交單價,買進股數,賣出股數
1,1020  合　　庫,33.85,0,"1,000"
2,1021  合庫台中,34.05,"1,000",0
3,1022  合庫台南,34.10,"1,000",0
4,1024  合庫嘉義,34.00,0,"2,000"
5,1024,34.10,"10,000",0
6,102E  合庫東桃,33.80,"1,000",0
7,1037  土銀花蓮,33.85,"1,000",0
8,1039  土銀士林,34.25,"5,000",0
9,1040  臺    銀,34.20,0,"5,000"
10,1040,34.65,200,"1,000"
11,1041  臺銀鳳山,33.75,"10,000",0
12,1041,33.80,"10,000","60,000"
13,1041,33.85,"20,000","1,000"
14,1041,33.95,"20,000","8,000"
15,1041,34.00,0,"50,000"
16,1041,34.05,0,"50,000"
17,1041,34.10,0,"30,000"
18,1041,34.15,0,"2,000"
19,1041,34.30,0,"1,000"
20,1042  臺銀臺南,33.90,"1,000",0
21,1042,34.65,"2,000",0
22,1043  臺銀民權,34.00,0,"11,000"
23,1043,34.10,"4,000",0
24,1043,34.20,"4,000",0
25,1043,34.25,"15,000",0
26,104D  臺銀金山,33.90,0,"1,000"
27,104D,34.15,0,"7,000"
28,1091  工銀台中,34.25,0,"1,000"
29,109A  工銀城中,33.85,"1,000",0
30,109A,34.10,0,"1,000"
31,109A,34.40,0,"1,000"
32,109A,34.50,0,"1,000"
33,109A,34.65,0,"1,000"
34,1116  企銀屏東,33.80,"4,000",0
35,1116,33.85,"2,000",0
36,1116,34.05,"2,000",0
37,1116,34.15,"2,000",0
38,1116,34.65,0,"8,000"
39,1117  企銀竹北,34.30,0,"10,000"
40,111A  企銀民雄,34.55,0,"1,000"
41,111C  台企三民,34.50,"5,000",0
42,111C,34.60,"5,000",0
43,111F  企銀北高,34.00,"1,000",0
44,1160  日    盛,33.85,0,"20,000"
45,1160,34.00,0,"5,000"
46,1161  日盛忠孝,33.80,0,"3,000"
47,1162  日盛台南,33.80,"1,000","5,000"
48,1165  日盛板橋,33.80,"3,000",0
49,1168  日盛高雄,33.95,"2,000",0
50,1168,34.65,0,"1,000"
51,116A  日盛木柵,34.15,0,"10,000"
52,116A,34.20,"10,000",0
53,116A,34.25,0,"10,000"
54,116b  日盛園區,34.10,0,"2,000"
55,116E  日盛三重,34.15,"1,000",0
56,116E,34.70,"1,000",0
57,116G  日盛景美,33.80,"1,000",0
58,116G,33.90,0,"10,000"
59,116G,34.10,"1,000",0
