有價證券代號及名稱,
5364,易福
6199,精威
1256,F-鮮活
1258,F-其祥
1259,安心
1333,恩得利
1336,台翰
1558,伸興
1565,精華
1566,捷邦
1569,濱川
1570,力肯
1580,新麥
1584,精剛
1586,和勤
1591,F-駿吉
1593,祺驊
1595,川寶
1597,直得
1599,宏佳騰
1742,台蠟
1752,南光
1777,生泰
1781,合世
1784,訊聯
1785,光洋科
1787,福盈科
1788,杏昌
1795,美時
1799,紅電醫
1813,寶利徠
1815,富喬
2035,唐榮
2061,風青
2063,世鎧
2066,世德
2067,嘉鋼
2221,大甲
2230,泰茂
2233,宇隆
2596,綠意
2636,台驊
2640,大車隊
2718,桃園店
2719,燦星旅
2724,F-富驛
2729,瓦城
2734,易飛網
2916,滿心
2924,F-東凌
2926,誠品生
3064,泰偉
3066,李洲
3067,全域
3068,美磊
3071,協禧
3073,普格
3078,僑威
3083,網龍
3085,久大
3086,華義
3088,艾訊
3089,展成
3092,鴻碩
3093,港建
3095,及成
3105,穩懋
3114,好德
3115,寶島極
3118,進階
3126,信億
3128,昇銳
3131,弘塑
3141,晶宏
3144,新揚科
3152,璟德
3162,精確
3163,波若威
3169,亞信
3171,天馳
3176,基亞
3188,安茂
3191,和進
3202,樺晟
3205,佰研
3206,志豐
3207,耀勝
3211,順達
3213,茂訊
3217,優群
3218,大學光
3219,倚強
3221,台嘉碩
3224,三顧
3226,至寶電
3227,原相
3228,金麗科
3230,錦明
3232,昱捷
3234,光環
3236,千如
3252,海灣科
3259,鑫創
3260,威剛
3264,欣銓
3265,台星科
3266,昇陽
3268,海德威
3276,宇環
3284,太普高
3285,微端
3287,廣寰科
3288,點晶
3289,宜特
3290,東浦
3291,遠翔科
3293,鈊象
3294,英濟
3297,杭特
3299,帛漢
3303,岱稜
3306,鼎天
3310,佳穎
3313,斐成
3317,尼克森
3322,建舜電
3323,加百裕
3324,雙鴻
3325,旭品
3332,幸康
3339,泰谷
3354,律勝
3360,尚立
3362,先進光
3363,上詮
3372,典範
3373,熱映
3379,彬台
3388,崇越電
3390,旭軟
3402,漢科
3416,融程電
3428,光燿科
3431,長天
3434,哲固
3438,類比科
3441,聯一光
3444,利機
3452,益通
3455,由田
3465,祥業
3466,致振
3479,安勤
3483,力致
3484,崧騰
3489,森寶
3490,單井
3491,昇達科
3498,陽程
3499,環天科
3508,位速
3511,矽瑪
3512,能緹
3516,亞帝歐
3520,振維
3521,鴻翊
3522,宏森
3523,迎輝
3526,凡甲
3527,聚積
3528,安馳
3529,力旺
3531,先益
3537,堡達
3540,曜越
3541,西柏
3546,宇峻
3548,兆利
3551,世禾
3552,同致
3553,力積
3555,擎泰
3556,禾瑞亞
3558,神準
3562,頂晶科
3563,牧德
3564,其陽
3567,逸昌
