1020,合　　庫
1021,合庫台中
1022,合庫台南
1023,合庫高雄
1024,合庫嘉義
1025,合庫基隆
1028,合庫彰化
1029,合庫鳳松
102A,合庫竹塹
102C,合庫自強
102E,合庫東桃
1030,土　　銀
1031,土銀台中
1032,土銀台南
1033,土銀高雄
1034,土銀嘉義
1035,土銀新竹
1036,土銀玉里
1037,土銀花蓮
1038,土銀和平
1039,土銀士林
103A,土銀建國
103B,土銀彰化
103C,土銀白河
103D,土銀湖口
103F,土銀南港
1040,臺    銀
1041,臺銀鳳山
1042,臺銀臺南
1043,臺銀民權
1045,臺銀新竹
104A,臺銀臺中
104C,臺銀高雄
104D,臺銀金山
1090,工    銀
1091,工銀台中
1093,工銀埔里
1095,工銀桃園
1096,工銀板橋
1097,工銀高雄
109A,工銀城中
109K,工銀忠孝
1110,企    銀
1111,企銀台中
1112,企銀台南
1113,企銀九如
1114,企銀嘉義
1115,企銀太平
1116,企銀屏東
1117,企銀竹北
1118,企銀豐原
1119,企銀岡山
111A,企銀民雄
111B,台企建成
111C,台企三民
111D,企銀台北
111E,企銀桃園
111F,企銀北高
111G,企銀埔墘
111H,企銀南京
1160,日    盛
1161,日盛忠孝
1162,日盛台南
1163,日盛台中
1164,日盛內湖
1165,日盛板橋
1166,日盛雙和
1167,日盛嘉義
1168,日盛高雄
1169,日盛士林
116A,日盛木柵
116B,日盛中壢
116C,日盛八德
116E,日盛三重
116F,日盛員林
116G,日盛景美
116H,日盛新竹
116I,日盛南京
116J,日盛中山
116K,日盛花蓮
116L,日盛大墩
116M,日盛屏東
116N,日盛永康
116P,日盛信義
116Q,日盛二林
116S,日盛新莊
116U,日盛桃園
116V,日盛斗六
116W,日盛鳳山
116X,日盛宜蘭
116Z,日盛中和
116b,日盛園區
116c,日盛豐原
116d,日盛三峽
116e,日盛竹北
116f,日盛復興
116g,日盛龍潭
116i,日盛樹林
116j,日盛頭份
116k,日盛高雄
116m,日盛和美
116r,日盛文化
116s,日盛土城
116v,日盛幸福
116w,日盛金門
1230,彰    銀
1232,彰銀七賢
1233,彰銀台中
1260,宏    遠
1261,宏遠民生
1262,宏遠桃園
1264,宏遠南京
126D,宏遠台南
126H,宏遠中和
126L,宏遠台中
126Q,宏遠高雄
126U,宏遠館前
126V,宏遠板橋
126X,宏遠新竹
1360,港麥格理
1380,東方匯理
1440,美林
1470,台灣摩根
1480,美商高盛
1520,瑞士信貸
1530,德意志
1560,港商野村
1570,港商法興
1590,花旗環球
1650,瑞銀
1660,港商聯昌
2180,亞    東
2181,亞東板橋
2184,亞東新竹
2185,亞東台南
2186,亞東高雄
2187,亞東台中
2188,亞東雙和
2189,亞東桃園
5050,大    展
5059,大展武昌
5110,富    隆
5112,富隆長安
5260,大    慶
5261,大慶蘆洲
5262,大慶楊梅
5263,大慶泰山
5264,大慶高雄
5265,大慶苗栗
5266,大慶中壢
5267,大慶基隆
5268,大慶台南
5269,大慶台中
526A,大慶中和
526B,大慶復興
526K,大慶富順
526L,大慶長榮
5320,高    橋
5321,高橋龍潭
5322,高橋中壢
5323,高橋內壢
5380,第一金證
5381,第一員林
5382,第一台中
5383,第一高雄
5384,第一台南
5385,第一桃園
5386,第一彰化
5387,第一澎湖
5389,第一中山
538A,第一新興
538B,第一新竹
538C,第一光復
538D,第一忠孝
538E,第一自由
538F,第一稻埕
538G,第一中和
538I,第一頭份
538M,第一嘉義
538N,第一豐原
538P,第一路竹
538U,第一士林
538V,第一灣內
538W,第一華江
538X,第一新莊
538Y,第一中壢
538j,第一安和
5460,寶    盛
5600,永    興
5602,永興水湳
5603,永興台中
5604,永興大墩
5660,日    進
5850,統    一
5851,統一高雄
5852,統一敦南
5853,統一中壢
5854,統一城中
5855,統一台南
5856,統一台中
5857,統一新竹
5858,統一嘉義
5859,統一屏東
585A,統一基隆
585B,統一永和
585C,統一三民
585D,統一新台中
585E,統一新營
585F,統一彰化
585G,統一延平
585H,統一桃園
585I,統一員林
585J,統一三重
585L,統一豐原
585M,統一士林
585N,統一大里
585P,統一板橋
585Q,統一三多
585R,統一汐止
585S,統一宜蘭
585U,統一南京
585V,統一古亭
585W,統一金門
585Y,統一土城
585Z,統一松江
585b,統一內湖
585c,統一仁愛
585d,統一新店
585e,統一新莊
5860,盈    溢
5861,盈溢籬子內
5862,盈溢楠梓
5870,光    隆
5920,元    富
5921,元富高雄
5922,元富新店
5923,元富三重
5925,元富台中
5926,元富四維
5927,元富林園
5928,元富新莊
5929,元富台南
592A,元富緯城
592B,元富永和
592C,元富潮洲
592D,元富大昌
592E,元富城中
592G,元富新竹
592H,元富信義
592I,元富嘉義
592J,元富松山
592L,元富中壢
592M,元富彰化
592N,元富虎尾
592P,元富同大
592Q,元富敦南
592S,元富基隆
592U,元富宜蘭
592V,元富民權
592W,元富吉利
592X,元富草屯
592Y,元富埔里
592Z,元富安南
592a,元富松德
592b,元富板橋
592c,元富烏日
592d,元富延平
592e,元富古亭
592g,元富中原
592i,元富中港
592j,元富府中
592l,元富大裕
592m,元富成功
592n,元富西松
592o,元富新興
592q,元富屏東
592r,元富城東
592u,元富世貿
592v,元富桃園
592w,元富佳里
592y,元富花蓮
592z,元富文心
5960,日    茂
5961,日茂埔里
5962,日茂南投
5964,日茂霧峰
6010,★    亞
6012,★亞網路
6110,台中商銀
6114,中商員林
6115,中商台北
6116,中商中壢
611A,中商豐原
6160,中國信託
6161,中信三重
6162,中信託忠
6163,中信託永
6164,中信託文
6165,中信託新
6166,中信桃園
6167,中信松江
6168,中信嘉義
6169,中信雙和
616K,中信託高
6210,新 百 王
6380,光    和
6381,光和溪湖
6382,光和田中
6383,光和和美
6385,光和花壇
6386,光和虎尾
6450,永    全
6451,永全南崁
6452,永全八德
6460,大    昌
6461,大昌樹林
6462,大昌安康
6463,大昌新竹
6464,大昌新店
6465,大昌桃園
6480,福    邦
6530,大    眾
6531,大眾左楠
6532,大眾松江
6533,大眾台南
6534,大眾中山
6535,大眾大安
6536,大眾新莊
6537,大眾松山
6538,大眾新營
6539,大眾永康
653A,大眾台東
653B,大眾屏東
653C,大眾通營
653D,大眾新板
653E,大眾鳳山
653J,大眾台中
6620,全    泰
6640,渣打商銀
6641,渣打新明
6642,渣打新興
6645,渣打竹南
6648,渣打新社
664A,渣打南崁
664C,渣打西湖
664D,渣打三多
664E,渣打文心
664F,渣打仁愛
664G,渣打板橋
6910,德    信
6911,德信台北
6912,德信中正
6913,德信新營
6914,德信三重
6915,德信和平
6950,福    勝
7000,兆豐
